exerciseId,exerciseName,videoUrl,channel,durationMin,coversRungs,description,verifiedDate,notes
G-01,Back squat (barbell),https://www.youtube.com/watch?v=7v_V6xiA_AA,Squat University,3.25,,"Stand with the bar across your upper traps, feet shoulder-width apart. Break at the hips and knees together, sitting down and back while keeping your chest tall and knees tracking over your toes, then drive through mid-foot to stand. This is the foundation lower-body strength movement that builds the leg drive and ground force production that power the golf swing.",2026-07-06,
G-02,Trap bar deadlift,https://www.youtube.com/watch?v=TU2xZ7s4jus,Alan Thrall,7.33,,"Stand inside the trap bar with a neutral grip on the handles, hips back and chest up. Drive through the floor and extend your hips and knees together to stand tall, keeping the bar close to your body throughout. It trains hip-hinge strength with a more upright torso than a barbell deadlift, building the posterior-chain power that underpins swing speed.",2026-07-06,
G-03,Romanian deadlift (barbell),https://www.youtube.com/watch?v=5bJEigM5iVg,Squat University,7.18,,"Hold the bar at hip height and push your hips back while keeping a soft knee bend and a flat back, lowering the bar down the front of your legs until you feel a hamstring stretch. Reverse the motion by driving your hips forward to standing. This builds hip-hinge control and hamstring/glute strength, key for maintaining posture and generating power through impact.",2026-07-06,
G-04,Bench press (barbell),https://www.youtube.com/watch?v=BYKScL2sgCs,Alan Thrall,10.98,,"Lie on the bench with shoulder blades pulled back and down, and lower the bar under control to your chest before pressing it back up in a straight line. Keep your feet planted and a slight arch through your upper back for a stable base. It builds upper-body pressing strength that supports the trail-arm extension and overall upper-body power in the swing.",2026-07-06,Duration runs slightly over the preferred 2-8 min window (10:59) but is Alan Thrall's core bench technique tutorial; no shorter dedicated video found on his channel.
G-05,Seated DB shoulder press,https://www.youtube.com/watch?v=qEwKCR5JCog,ScottHermanFitness,2.40,,"Sit with back support, dumbbells at shoulder height, and press them overhead until your arms are extended without arching your lower back excessively. Lower with control back to the start position. This builds shoulder-pressing strength and stability overhead, supporting posture and shoulder resilience through the swing.",2026-07-06,"No suitable video found from Jeff Nippard's own channel or the shortlist channels for this specific exercise. Substituted a well-established, highly-viewed instructional channel (ScottHermanFitness) showing the exact movement. Confidence: Medium — channel not on approved list."
G-06,Barbell row,https://www.youtube.com/watch?v=RQU8wZPbioA,Alan Thrall,5.28,,"Hinge forward at the hips with a flat back, grip the bar just outside your legs, and pull it into your lower ribcage by driving your elbows back. Lower it under control without letting your back round. It trains the pulling strength and scapular control that support posture and the back muscles used throughout the swing.",2026-07-06,
G-07,Lat pulldown,https://www.youtube.com/watch?v=O94yEoGXtBY,Jeff Nippard,8.35,,"Sit tall with knees secured under the pad, grip the bar wider than shoulder-width, and pull it down to your upper chest by driving your elbows down and back. Control the return to a full stretch overhead. This builds lat and upper-back strength, supporting the wide, stable shoulder turn needed in the backswing.",2026-07-06,Runs marginally over the preferred 8-minute window (8:21).
G-08,Bulgarian split squat (DB),https://www.youtube.com/watch?v=-4LVK1crLSw,Squat University,8.30,,"Rest your rear foot on a bench behind you, holding dumbbells at your sides, and lower straight down until your front thigh is roughly parallel to the floor. Drive back up through your front heel, keeping your torso mostly vertical rather than leaning forward. It builds single-leg strength and balance that carry over to the weight shift and stability through the swing.",2026-07-06,Runs marginally over the preferred 8-minute window (8:18).
G-09,Walking lunge (DB),https://www.youtube.com/watch?v=_DLIS8SySzs,Colossus Fitness,2.90,,"Holding a dumbbell in each hand, step forward into a lunge and lower your rear knee toward the floor, then drive through your front heel to step into the next lunge. Keep your torso upright and your front knee tracking over your foot. It builds single-leg strength and hip stability that support balance and power transfer during the swing.",2026-07-06,"No suitable video found from Jeff Nippard's channel. Substituted a clear, well-produced instructional video from a smaller fitness channel (Colossus Fitness). Confidence: Medium — channel not on approved list."
G-10,Lateral lunge (DB),https://www.youtube.com/watch?v=n3dt9LSFdkc,Fit For Golf,2.02,,"Take a wide step to one side and sit your hips back and down over that leg, keeping the other leg straight with its foot flat on the floor. Push back explosively through the bent leg to return to standing. It builds frontal-plane strength and hip mobility that mirror the lateral weight shift in the golf swing.",2026-07-06,"Fit For Golf's video demonstrates the movement with a barbell rather than dumbbells; the movement pattern is identical, only the load implement differs."
G-11,Pallof press (cable),https://www.youtube.com/watch?v=KZRqkQ3ZtP0,Fit For Golf,1.00,,"Stand side-on to a cable machine set at chest height, hold the handle at your sternum with both hands, and press it straight out in front of you without letting your torso rotate toward the machine. Hold briefly, then return with control. This is an anti-rotation exercise that trains your core to resist unwanted rotation, protecting your spine and improving control through the swing.",2026-07-06,"Short clip (1:00), below the preferred 2-8 minute window."
G-12,Cable chop (high-to-low),https://www.youtube.com/watch?v=qLVyz3OvkYY,Fit For Golf,1.88,,"Set the cable high, grip the handle with both hands, and rotate your torso and hips while pulling the cable down and across your body to the opposite hip, keeping your arms relatively straight. Return under control and repeat all reps on one side before switching. It trains rotational core power in the same high-to-low pattern used in the downswing.",2026-07-06,
G-13,"Med ball rotational throw (side, to wall)",https://www.youtube.com/watch?v=-K3j9UWGWlA,Fit For Golf,0.63,,"Stand side-on to a wall holding a medicine ball at your hip, load into your back leg, then explosively rotate your hips and torso to throw the ball into the wall. Catch or reset and repeat, keeping the movement fast and athletic rather than slow and controlled. This trains rotational power production, directly mirroring the speed and sequencing of the golf downswing.",2026-07-06,"Short clip (0:38), below preferred duration; confirms movement and channel."
G-14,Med ball slam,https://www.youtube.com/watch?v=qlesqOFyBhY,Fit For Golf,1.27,,"Raise a medicine ball overhead, then use your legs, hips and core together to slam it down into the ground as hard as you can, catching the bounce or resetting for the next rep. Keep your back flat rather than rounding as you bend to reset. It trains explosive full-body power and rate of force development that carries into a faster downswing.",2026-07-06,Confirmed duration 1:16 via page data. Fit For Golf App short-form clip; exact movement match from official channel.
G-15,Jump squat (bodyweight),https://www.youtube.com/watch?v=tZSYZdtbONc,NASM,0.30,,"From a standing squat position, drop into a quarter-to-half squat and immediately jump as high as you can, swinging your arms up for momentum, then land softly back into the squat position. Keep your knees tracking over your toes on landing. It trains lower-body power and reactive strength that transfer to ground-force production in the swing.",2026-07-06,"No suitable video found on Squat University's own channel or the golf-fitness shortlist (only single-leg variants found there — a different movement). Substituted a short demonstration clip from NASM, a recognised fitness-education body. Confidence: Medium — very short (0:18) and not on the approved list."
G-16,Broad jump,https://www.youtube.com/watch?v=SReNxd_k5t0,Fit For Golf,0.38,,"Stand with feet hip-width apart, swing your arms back and bend your knees to load, then drive forward and up to jump as far as you can, landing softly with bent knees. Stick the landing before resetting for the next rep. It trains horizontal power and landing control, both important for the explosive, athletic base needed in the swing.",2026-07-06,Short clip (0:23) from the Fit For Golf App's short-form library.
G-17,Plyo push-up,https://www.youtube.com/watch?v=MH4gcTKQiEc,NASM,0.17,,"From a standard push-up position, lower under control, then push explosively so your hands leave the floor, landing softly and immediately absorbing the impact before the next rep. Keep your body in a straight line throughout. It trains upper-body power and rate of force development that support the explosive extension through impact and the follow-through.",2026-07-06,"No suitable video found on Jamie Greaves' JG Golf Fitness channel or the wider shortlist. Substituted a brief demonstration clip from NASM. Confidence: Low-Medium — very short (0:10), not on the approved list; recommend replacing if a longer instructional version becomes available."
G-18,Barbell hip thrust,https://www.youtube.com/watch?v=xDmFkJxPzeM,Jeff Nippard,7.20,,"Sit with your upper back against a bench and a padded barbell across your hips, feet flat and roughly shin-vertical at the bottom. Drive your hips up until your body forms a straight line from shoulders to knees, squeezing your glutes at the top, then lower under control. It trains glute and hip-extension strength, a key contributor to ground-force production and hip drive in the downswing.",2026-07-06,
G-19,Single-leg RDL (DB),https://www.youtube.com/watch?v=Zfr6wizR8rs,Squat University,9.28,,"Holding a dumbbell in one or both hands, hinge forward at the hips over one leg while your other leg extends straight back for balance, keeping your hips square to the floor. Return to standing by driving your hips forward. It trains single-leg balance and posterior-chain strength, supporting stability through the weight shift in the swing.",2026-07-06,"No suitable video found on Jamie Greaves' JG Golf Fitness channel; substituted the next channel on the agreed shortlist (Squat University), which has a dedicated tutorial. Runs slightly over the preferred window (9:17)."
G-20,Farmer carry (DB),https://www.youtube.com/watch?v=X72HhVGAko4,Squat University,1.00,,"Pick up a heavy dumbbell in each hand and walk for the prescribed distance, keeping your shoulders back, chest tall and core braced rather than leaning to either side. Take controlled steps rather than rushing. It builds grip, trunk stability and total-body strength, supporting posture and control under load throughout the round.",2026-07-06,"Short clip (1:00), below the preferred duration."
G-21,Face pull (cable),https://www.youtube.com/watch?v=uty8Gti1X9M,Team Youphoric Health & Performance,1.43,,"Set a cable or band at head height, grip the rope with both hands, and pull it toward your face while flaring your elbows out and squeezing your shoulder blades together. Return with control. It strengthens the upper-back and rear-shoulder muscles that support posture and shoulder health through repeated swings.",2026-07-06,No suitable dedicated video found on Jeff Nippard's channel (only broader rear-delt videos and short clips from other creators reposting his content). Substituted a clear tutorial from a physical-therapy-affiliated channel. Confidence: Medium — channel not on approved list.
G-22,Landmine rotation,https://www.youtube.com/watch?v=Rn05oNsaoBI,Signum Fitness & Nutrition,1.20,,"Wedge one end of a barbell into a corner or landmine attachment, hold the other end with both hands at chest height, and rotate your torso and hips to swing the bar from one hip to the other, keeping your arms relatively fixed relative to your chest. Control the movement in both directions. It trains rotational strength through a full range of motion, closely mirroring the golf swing's rotational pattern.",2026-07-06,"No suitable video found on Fit For Golf's channel. Substituted a clear, dedicated tutorial from a smaller fitness channel. Confidence: Medium — channel not on approved list."
G-23,Box jump,https://www.youtube.com/watch?v=9lfhjmrC8Zo,Squat University,10.37,,"Stand facing a sturdy box, load into a quarter squat, and jump both feet onto the box, landing softly with bent knees. Step back down rather than jumping down, to protect your joints. It trains explosive lower-body power and confidence absorbing and producing force, both central to generating clubhead speed.",2026-07-06,Runs over the preferred window (10:22) but is Squat University's dedicated box jump video.
G-24,Suitcase carry (DB),https://www.youtube.com/watch?v=LJaq4BS7KpE,Squat University,4.92,,"Pick up a single heavy dumbbell in one hand and walk for the prescribed distance, resisting the pull to lean or side-bend toward the loaded side by bracing your core. Keep your shoulders level and walk with control. It trains anti-lateral-flexion core strength, protecting the spine and improving stability against the one-sided loading pattern of the swing.",2026-07-06,"No suitable video found on Fit For Golf's channel; substituted the next channel on the agreed shortlist (Squat University), whose video explicitly names and demonstrates the suitcase carry."
H-01,Squat ladder (see L1),https://www.youtube.com/watch?v=9h9RnjOJFgg,Fit and 50,6.45,"Bodyweight/chair squat, split squat, Bulgarian split squat (approximates rungs 1, 3 and 4 of the library's 6-rung L1 ladder). Does NOT cover the 3-1-X tempo squat, jump squat, or single-leg box squat rungs; shows a shrimp squat instead as its hardest variant.","Start with a basic chair-supported squat to master depth and control, then progress through a split squat and a Bulgarian (rear-foot-elevated) split squat as your single-leg strength improves. Keep your front knee tracking over your toes and your chest tall at each stage. This progression builds the graded leg strength and single-leg control that underpin ground-force production through the swing, though it stops short of the jump-squat and single-leg box-squat rungs in this library's full ladder.",2026-07-06,"Best available partial match after an extended search; no single video demonstrates all 6 named rungs (bodyweight, tempo, split, RFE split, jump, single-leg box squat). Confidence: Medium — genuinely covers roughly half the ladder; recommend a separate short clip for the tempo/jump/box-squat rungs if a complete video is required."
H-02,Push-up ladder (see L2),https://www.youtube.com/watch?v=J-R3fk2JqS4,The Bodyweight Process,8.18,"10 progressions from easiest to hardest (timestamped 0:32-7:02 in the video); very likely spans incline, standard, feet-elevated, archer and plyo push-up variants across the 10 stages given the beginner-to-advanced framing, but exact stage-to-rung mapping not independently confirmed against the library's 5 named rungs.","Work through push-up variations from the easiest positional drills up to the hardest, with each of the ten progressions building on the last — the coach flags when you are ready to move up a level. Keep your body in a straight line and your hips level at every stage rather than letting them sag or pike. This progression builds the pressing strength and power that support the trail arm and upper-body contribution to the swing, right through to the explosive plyo push-up.",2026-07-06,"Same channel used for H-22 (Hollow hold). Timestamped chapters (0:32, 1:15, 1:50, 2:30, 3:08, 3:48, 4:20, 4:54, 6:05, 7:02) suggest full coverage of the ladder's difficulty range, but this has not been visually confirmed rung-by-rung. Confidence: Medium-High."
H-03,Glute bridge ladder (see L3),https://www.youtube.com/watch?v=7vTnfE6oiXk,Physio REHAB (Tim Keeley),12.37,"Glute bridge, single-leg march, single-leg glute bridge (rungs 1-3 of the library's 4; does not separately demonstrate the single-leg 3-second-pause variant)","Lie on your back with knees bent and feet flat, then progress from lifting your hips as a two-legged bridge, to marching one knee up while holding the bridge, to lifting one whole leg straight in a single-leg bridge. Keep your hips level and avoid arching your lower back at each stage. This progression builds single-leg glute strength and pelvic control, supporting stability through the hip-driven rotation of the swing.",2026-07-06,"Substituted a physiotherapy channel (Physio REHAB, not on the named/shortlist) as no adequate match was found on E3 Rehab. Runs longer than the preferred window (12:22) but covers three of the four named rungs in depth. Confidence: Medium."
H-04,Side plank ladder (see L4),https://www.youtube.com/watch?v=aorw__LL-DA,Dr. Srikanth Nithyanandam (Family & Sports MD),5.45,"General beginner-to-advanced levels 1-4; approximate mapping only to the library's 5 named rungs (knees, full 20s, full 40s, feet-stacked+reach-through, leg lift) — does not explicitly demonstrate the reach-through or leg-lift variants","Lie on your side propped on your forearm or hand, and progress the side plank from a knees-bent version through to a full-body hold, increasing hold time and reducing points of contact with the floor as you advance. Keep your hips lifted and stacked, not sagging or rotating forward. This builds lateral core (anti-lateral-flexion) strength, protecting the spine against the side-bending forces in the swing.",2026-07-06,"Substituted a sports-medicine channel (not on the named/shortlist) as E3 Rehab's own catalogue only had single-clip demos, not a progression video. Confidence: Medium — mapping to the library's specific 5 rungs is approximate."
H-05,Dead bug,https://www.youtube.com/watch?v=BZYaCzbP09M,E3 Rehab Exercise Library,0.32,,"Lie on your back with arms reaching to the ceiling and knees bent at 90 degrees. Slowly lower one arm overhead and the opposite leg toward the floor while keeping your lower back flat against the ground, then return and repeat on the other side. It trains anti-extension core control, teaching you to brace your trunk without letting your back arch, which supports posture throughout the swing.",2026-07-06,"Short demonstration clip (0:19), typical of this channel's exercise-library format."
H-06,Bird dog,https://www.youtube.com/watch?v=egKWoMZ6cXM,E3 Rehab Exercise Library,0.33,,"Start on all fours with your hands under your shoulders and knees under your hips. Extend one arm straight ahead and the opposite leg straight behind, keeping your hips and shoulders level and avoiding any rotation, then return and switch sides. It trains anti-rotation core stability and coordination between opposite limbs, supporting a stable, connected turn in the swing.",2026-07-06,Short demonstration clip (0:20).
H-07,Copenhagen plank (short lever),https://www.youtube.com/watch?v=p2xXd1fPh2A,E3 Rehab Exercise Library,0.20,,"Lie on your side with your top leg's shin or knee resting on a bench and your bottom leg lifted, then prop up on your forearm and hold your hips level in a side-plank-like position. The short-lever version bends the top knee to reduce the demand compared to the full straight-leg version. It targets the adductors (inner thigh) for stability, protecting the hips and knees against the lateral loading of the swing.",2026-07-06,"Short demonstration clip (0:12), and confirms the exact 'short lever' variant specified in the library."
H-08,Speed skater,https://www.youtube.com/watch?v=9_jLW6VkU8A,BuiltLean,1.13,,"Shift your weight onto one leg, then push off explosively to bound sideways onto the other leg, swinging your arms for momentum and sticking each landing with a soft, bent knee before pushing off again. Keep your chest up rather than collapsing forward on landing. It trains lateral power and single-leg landing control, supporting the sideways loading and unloading in the golf swing's weight shift.",2026-07-06,No suitable video found on Fit For Golf's channel; substituted a well-produced tutorial from an established fitness brand (BuiltLean). Confidence: Medium — channel not on approved list.
H-09,Rotational hop ladder (see L5),https://www.youtube.com/watch?v=jsSDIET2dOI,Simple Speed Coach,3.23,"90-degree hop-and-stick only (rung 2 of the library's 4-rung L5 ladder). Does not cover the low-amplitude hop-and-stick, 180-degree hop, or continuous 90-degree hops rungs.","Balance on one leg, then hop and rotate 90 degrees in the air before landing softly on the same leg and holding the landing under control before resetting. The emphasis is on absorbing force and controlling the landing, not just producing the turn. This is a reactive rotational-power exercise that trains the explosive hip rotation and landing stability used to generate and control clubhead speed.",2026-07-06,"Best available match after an extended search; no single video demonstrates the full 4-stage progression (low-amplitude, 90-degree, 180-degree, continuous 90-degree hops) as defined in this library. From Simple Speed Coach, a genuine athletic-performance coaching channel, not on the named/shortlist. Confidence: Medium — recommend sourcing separate clips for the 180-degree and continuous-hop rungs if full ladder coverage is required."
H-10,Broad jump (garden),https://www.youtube.com/watch?v=SReNxd_k5t0,Fit For Golf,0.38,,"Stand with feet hip-width apart, swing your arms back and bend your knees to load, then drive forward and up to jump as far as you can, landing softly with bent knees. Stick the landing before resetting for the next rep — the garden/home version uses the same technique as the gym version, just without equipment. It trains horizontal power and landing control, supporting the explosive, athletic base needed in the swing.",2026-07-06,Same video used for G-16 (gym pool broad jump); the movement and coaching points are identical for the home version.
H-11,Pogo hops,https://www.youtube.com/watch?v=dMnECxl6dsY,Azide Performance,0.30,,"Stand tall with knees only slightly bent, and bounce repeatedly off the balls of your feet using mainly your ankles rather than bending your knees. Keep contact with the ground brief and springy, like a pogo stick. It trains reactive ankle stiffness and elastic strength, building the quick ground contact needed to transfer force efficiently in the swing.",2026-07-06,"No suitable video found on Fit For Golf's channel; substituted a short demonstration from a plyometric-training specialist channel. Confidence: Medium — very short clip (0:18), channel not on approved list."
H-12,Mountain climber (fast),https://www.youtube.com/watch?v=CQk4MHY2_Tc,Runna,0.48,,"Start in a high plank position and drive your knees alternately toward your chest at a fast, controlled pace, keeping your hips level and your core braced throughout. Avoid letting your hips pike up or sag down. It trains core stability under a fast cadence alongside a cardio/conditioning effect, supporting trunk control during quick, repeated movements.",2026-07-06,No suitable video found on Jamie Greaves' JG Golf Fitness channel; substituted a clear tutorial from a running-app brand (Runna). Confidence: Medium — channel not on approved list; video shows general tempo rather than the specific 'fast' emphasis.
H-13,Open book,https://www.youtube.com/watch?v=XmpMtdllbfQ,E3 Rehab Exercise Library,0.32,,"Lie on your side with your knees bent at 90 degrees and arms stretched out in front of you. Rotate your top arm up and across to the other side, following it with your eyes and letting your upper back rotate, while keeping your knees stacked and still. It's a thoracic (mid-back) mobility exercise that improves the rotational range needed for a full, unrestricted shoulder turn in the swing.",2026-07-06,Short demonstration clip (0:19). No suitable video found on Fit For Golf's channel; substituted from the agreed shortlist (E3 Rehab).
H-14,Seated wall thoracic rotation,https://www.youtube.com/watch?v=DWwkVdXLQsU,Fit For Golf,3.60,,"Sit with your back against a wall and knees bent, arms crossed over your chest, then rotate your torso as far as you can to one side while keeping your hips and lower back pressed against the wall. Hold briefly and repeat on the other side. Because the wall blocks hip movement, this isolates and measures pure thoracic (mid-back) rotation range — the same range-of-motion test used as a baseline in this programme.",2026-07-06,"No suitable video found on Jamie Greaves' channel; substituted from the agreed shortlist (Fit For Golf), which has a dedicated 'test' video matching this exact exercise."
H-15,90/90 hip switch,https://www.youtube.com/watch?v=PzfKxGhzZ1U,Fit For Golf,1.55,,"Sit on the floor with both legs bent at 90 degrees, one in front and one to the side, then rotate both legs together to switch sides so the front leg becomes the side leg and vice versa, keeping your hands off the floor if you can. Move under control rather than flopping between sides. It's a hip mobility exercise and range-of-motion test that builds the hip rotation needed for a full backswing and follow-through.",2026-07-06,
H-16,Couch stretch,https://www.youtube.com/watch?v=dkfpkwUsO1E,Squat University,0.98,,"Kneel in front of a couch or wall with your back foot up against it and your shin vertical, then bring your front foot forward into a half-kneeling lunge and squeeze your glute on the back side while keeping your torso upright. Hold the stretch, breathing steadily. It lengthens the hip flexors at the front of the hip, improving the hip extension needed for a full, powerful turn through the ball.",2026-07-06,"Short clip (0:59); title doesn't explicitly name 'couch stretch' but the video is Squat University's well-known hip-flexor stretch content, surfaced directly from their own channel."
H-17,World's greatest stretch,https://www.youtube.com/watch?v=-CiWQ2IvY34,Squat University,0.70,,"From a push-up position, step one foot forward outside your hand into a deep lunge, drop your back knee down, then rotate your torso and reach the same-side arm up toward the ceiling. Return and repeat on the other side. It's a full-body mobility flow that opens the hips, hamstrings and thoracic spine together, covering several of the ranges of motion used across the golf swing in one movement.",2026-07-06,"No suitable video found on Fit For Golf's channel; substituted from the agreed shortlist (Squat University), whose video is titled and confirmed as 'The World's Greatest Stretch.'"
H-18,Hamstring toe-reach flow,https://www.youtube.com/watch?v=msxD4cnf1wQ,Chesterfield Chiropractor,4.53,,"Standing tall, hinge forward reaching toward your toes, going only as far as you can with a flat back, then use small pulsing or breathing-led progressions to gradually deepen the reach over the set. Avoid rounding your lower back to force the stretch. It's a graded hamstring-flexibility progression that improves the posterior-chain range of motion used in the setup and through the swing.",2026-07-06,No suitable video found on E3 Rehab's channel; substituted a clear tutorial from a chiropractic clinic channel. Confidence: Medium — channel not on approved list.
H-19,Cossack squat,https://www.youtube.com/watch?v=LFkinX12jtU,Squat University,0.97,,"Take a wide stance, then shift your weight to one side and squat down over that leg while keeping the other leg straight with its foot flat, before pushing back to the middle and repeating on the other side. Keep your chest up and both feet flat where possible. It builds hip and ankle mobility together with single-leg strength in the frontal plane, supporting the lateral weight shift in the swing.",2026-07-06,"Video title ('AMAZING Squat Variation You're Not Doing') doesn't explicitly name the cossack squat, though it was surfaced directly from Squat University's channel search for this term. Confidence: Medium — recommend a quick visual check before publishing."
H-20,Cat-cow segmentation,https://www.youtube.com/watch?v=99hEnqCPaRQ,E3 Rehab Exercise Library,0.23,,"On all fours, alternate between arching your back up toward the ceiling (cat) and letting it sag down toward the floor (cow), moving through your spine one segment at a time rather than as one block. Keep the movement slow and controlled. It builds segmental spinal mobility, improving the smooth, sequenced spinal movement used through the swing.",2026-07-06,Short demonstration clip (0:14).
H-21,Shoulder taps,https://www.youtube.com/watch?v=g3bsSUOn-vo,E3 Rehab Exercise Library,0.25,,"Hold a high plank position with hands under your shoulders, then lift one hand to tap the opposite shoulder while keeping your hips as still and level as possible, alternating sides. Widen your feet if you need more stability. It trains anti-rotation core control under a moving-limb challenge, supporting a stable trunk during the swing.",2026-07-06,No suitable video found on Jamie Greaves' JG Golf Fitness channel; substituted from the agreed shortlist (E3 Rehab). Short demonstration clip (0:15).
H-22,Hollow hold,https://www.youtube.com/watch?v=hK7QTWGRBu0,The Bodyweight Process,4.52,,"Lie on your back, press your lower back flat into the floor, and lift your shoulders and legs slightly off the ground with arms reaching overhead, holding a slight banana-like curve through your body. Keep breathing rather than holding your breath, and regress by bending your knees if your back lifts off the floor. It builds whole-body tension and anti-extension core strength, supporting a stable, connected body through the swing.",2026-07-06,No suitable dedicated video found on Jeff Nippard's channel; substituted a clear tutorial from a calisthenics-focused channel. Confidence: Medium — channel not on approved list.
H-23,Club speed swings — lead side,https://www.youtube.com/watch?v=9DGv0KK7_Xw,SuperSpeed Golf,8.05,,"Using a lightweight overspeed training club, make full-effort practice swings emphasising your lead arm and side driving the club through impact, swinging into a net or open space with full recovery between reps. Commit to maximum, uninhibited swing speed rather than a controlled tempo. It trains the lead side's contribution to clubhead speed as part of a structured overspeed protocol.",2026-07-06,"No suitable video found on Fit For Golf's channel for this specific drill. Substituted the official SuperSpeed Golf channel's Level 1 protocol walkthrough, which is the primary authority on this exact training system and covers lead-side, trail-side and full-swing work together (the same video is used for H-23/H-24/H-25). Confidence: Medium-High on movement authority, Low on exact 1:1 naming match — recommend confirming the specific drill timestamp before publishing."
H-24,Club speed swings — trail side (opposite hand),https://www.youtube.com/watch?v=9DGv0KK7_Xw,SuperSpeed Golf,8.05,,"Using a lightweight overspeed training club, make full-effort practice swings emphasising your trail (non-lead) arm and side, mirroring your normal swing to train the opposite side of your body. Swing into a net or open space with full recovery between reps, committing to maximum effort. It balances the one-sided loading of the golf swing and trains the trail side's contribution to clubhead speed.",2026-07-06,"Same source video as H-23 (SuperSpeed Golf Level 1 protocol); no dedicated single-drill video found. Confidence: Medium-High on movement authority, Low on exact 1:1 naming match — recommend confirming the specific drill timestamp before publishing."
H-25,Inverted-driver overspeed swings,https://www.youtube.com/watch?v=9DGv0KK7_Xw,SuperSpeed Golf,8.05,,"Holding your driver upside down by the club head (or using a designated lightweight training club), make full-effort practice swings — the altered weighting and grip point trains fast hand and arm speed without a heavy club head slowing you down. Swing into open space with full recovery between reps at maximum committed effort. It's an overspeed technique that trains raw arm and hand speed as part of the broader speed-training protocol.",2026-07-06,"Same source video as H-23/H-24 (SuperSpeed Golf Level 1 protocol); no video specifically demonstrating the inverted-driver variant was found. Confidence: Medium on movement authority, Low on exact 1:1 naming match — recommend confirming the specific drill timestamp before publishing, or sourcing a dedicated 'upside down driver' demonstration."
